board state,rotation,x_pos,reward
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",3,0,11.748436773931637
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",0,2,13.910114008724014
"[[0, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,1,20.387795897777707
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,0,16.60571902238312
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,1,24.273860789023107
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",0,1,20.882581545619956
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",0,1,12.51795486015034
"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]][[1]]",1,0,13.409616715308093
"[[0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,0,8.965143094664539
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,0,6.576364529402841
"[[1, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,1,7.834997581669441
"[[1, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,2,12.310832699582022
"[[1, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,0,1.129856
"[[1, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,1,-15.139834213109792
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",1,0,15.610698258744724
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",0,2,17.034965664540753
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",3,0,15.165104044470603
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",3,1,20.25802919291226
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,1,19.799127548872647
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",2,2,10.730962473156392
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",2,1,8.176516713942654
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",1,0,13.27611107661679
"[[0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1]][[1]]",2,1,6.295629426661865
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",2,1,11.236578793841057
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",0,2,15.217338818696449
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",0,0,15.342192609012457
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",3,2,14.958077314850613
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",0,0,14.011364109581475
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",2,0,9.173722541348402
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",0,1,14.740966048710883
"[[0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,1,7.535500838215144
"[[0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,2,13.122088492888606
"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]][[1]]",3,2,10.961523807062111
"[[0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1]][[1]]",0,1,5.321546907619534
"[[0, 0, 0], [0, 1, 0], [0, 1, 1], [1, 1, 1]][[1]]",1,1,-12.531849611049452
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",3,0,12.40927792734571
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",2,0,8.225550217290804
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",2,0,7.849632906993774
"[[1, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",0,1,3.141073163055181
"[[1, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,1,9.26877475334598
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",2,0,14.31609422507614
"[[0, 0, 0], [1, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",0,0,5.8596347401416455
"[[1, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,2,8.773110501501936
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",0,0,9.599895916339186
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,1,7.372916735740027
"[[0, 0, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]][[1]]",3,2,11.985077709255506
"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]][[1]]",2,2,8.424588638434239
"[[0, 0, 0], [0, 1, 0], [0, 1, 1], [1, 1, 1]][[1]]",0,2,3.567056180164237
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",1,0,10.54518555801048
"[[0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1]][[1]]",2,0,11.372998583831567
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",3,0,10.161296872267728
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,0,1.3311840161533812
"[[1, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",2,1,4.094027219983149
"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]][[1]]",2,2,15.283754870399342
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",3,0,12.217348083348007
"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",1,1,20.28615336217487
"[[0, 0, 0], [0, 0, 0], [1, 0, 0], [1, 1, 1]][[1]]",2,2,15.311608197539968
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,2,14.236022075827586
"[[0, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,1,21.08699573096342
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",1,1,19.666619389521816
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",1,2,12.205375044930715
"[[0, 0, 1], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,0,6.241926248962162
"[[0, 0, 1], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,1,20.83361434527186
"[[0, 0, 1], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",3,1,12.055730842141315
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",1,2,3.5366257549250744
"[[0, 0, 1], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",0,0,2.6152889824289582
"[[0, 0, 1], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",2,1,12.392581170151981
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",3,0,12.833685831266026
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",3,1,12.624052001120432
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",3,0,11.471543715583
"[[0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1]][[1]]",0,2,11.2603457093341
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",3,2,8.22319720422328
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",1,1,8.974236731131171
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",0,1,9.236263048892951
"[[0, 0, 0], [0, 1, 0], [0, 1, 1], [1, 1, 1]][[1]]",1,2,4.511447936423866
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",3,2,5.863004914570225
"[[0, 0, 1], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",0,0,11.897100425472559
"[[0, 0, 0], [0, 0, 1], [0, 1, 1], [1, 1, 1]][[1]]",2,1,8.552831785149543
"[[0, 0, 0], [0, 1, 1], [0, 1, 1], [1, 1, 1]][[1]]",2,0,9.834847676256391
"[[0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1]][[1]]",0,0,14.628437514667725
"[[0, 0, 0], [1, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",3,2,13.62541084519987
"[[0, 0, 0], [0, 0, 1], [1, 0, 1], [1, 1, 1]][[1]]",0,1,20.147595234785715
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",1,2,11.100517434158435
"[[0, 0, 0], [0, 0, 1], [0, 0, 1], [1, 1, 1]][[1]]",2,0,12.987096857327487
"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 1, 1]][[1]]",1,0,14.625980213760482
"[[0, 0, 0], [0, 0, 0], [1, 0, 1], [1, 1, 1]][[1]]",2,1,20.110820547250572
"[[0, 0, 0], [0, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",0,0,10.697675636243503
"[[0, 0, 0], [1, 0, 0], [1, 1, 0], [1, 1, 1]][[1]]",1,1,4.335720357924467
